id,query,tokens_regular,tokens_lemmatized
NG189_Recommendations for research & 7 more sections,What are the recommended components of e-learning safeguarding training for healthcare professionals and care staff?,"['recommended', 'components', 'elearning', 'safeguarding', 'training', 'healthcare', 'professionals', 'care', 'staff']","['recommended', 'component', 'elearning', 'safeguarding', 'training', 'healthcare', 'professional', 'care', 'staff']"
NG189_Recommendations for research: 4 E-learning safeguarding training & 4 more sections,What are effective strategies for embedding learning from Safeguarding Adults Reviews in care home safeguarding policies?,"['effective', 'strategies', 'embedding', 'learning', 'safeguarding', 'adults', 'reviews', 'care', 'home', 'safeguarding', 'policies']","['effective', 'strategy', 'embedding', 'learning', 'safeguarding', 'adult', 'review', 'care', 'home', 'safeguarding', 'policy']"
NG189_Rationale and impact: Care home safeguarding policy and procedure - Part 1,What are the recommended safeguarding policies and procedures for care homes?,"['recommended', 'safeguarding', 'policies', 'procedures', 'care', 'homes']","['recommended', 'safeguarding', 'policy', 'procedure', 'care', 'home']"
NG189_Rationale and impact: Care home safeguarding policy and procedure - Part 2 & Rationale and impact: Care home whistleblowing policy and procedure,What are the key components of an effective care home whistleblowing policy and procedure?,"['key', 'components', 'effective', 'care', 'home', 'whistleblowing', 'policy', 'procedure']","['key', 'component', 'effective', 'care', 'home', 'whistleblowing', 'policy', 'procedure']"
NG189_Rationale and impact: Care home whistleblowing policy and procedure & Rationale and impact: Care home and care home provider roles and responsibilities,What are the recommended policies and procedures for whistleblowing in care homes?,"['recommended', 'policies', 'procedures', 'whistleblowing', 'care', 'homes']","['recommended', 'policy', 'procedure', 'whistleblowing', 'care', 'home']"
"NG189_Rationale and impact: Care home and care home provider roles and responsibilities & Rationale and impact: Local authorities, clinical commissioning groups, and other commissioners",What are the roles and responsibilities of care home providers regarding safeguarding and governance?,"['roles', 'responsibilities', 'care', 'home', 'providers', 'regarding', 'safeguarding', 'governance']","['role', 'responsibility', 'care', 'home', 'provider', 'regarding', 'safeguarding', 'governance']"
"NG189_Rationale and impact: Local authorities, clinical commissioning groups, and other commissioners & Rationale and impact: Safeguarding Adults Boards",What are the responsibilities of local authorities and clinical commissioning groups in safeguarding care home residents?,"['responsibilities', 'local', 'authorities', 'clinical', 'commissioning', 'groups', 'safeguarding', 'care', 'home', 'residents']","['responsibility', 'local', 'authority', 'clinical', 'commissioning', 'group', 'safeguarding', 'care', 'home', 'resident']"
NG189_Rationale and impact: Safeguarding Adults Boards,What are the recommended practices for Safeguarding Adults Boards to improve communication and partnership working with care homes?,"['recommended', 'practices', 'safeguarding', 'adults', 'boards', 'improve', 'communication', 'partnership', 'working', 'care', 'homes']","['recommended', 'practice', 'safeguarding', 'adult', 'board', 'improve', 'communication', 'partnership', 'working', 'care', 'home']"
NG189_Rationale and impact: Induction and training in care homes - Part 1,What are the recommended induction and training requirements for safeguarding in care homes?,"['recommended', 'induction', 'training', 'requirements', 'safeguarding', 'care', 'homes']","['recommended', 'induction', 'training', 'requirement', 'safeguarding', 'care', 'home']"
NG189_Rationale and impact: Induction and training in care homes - Part 2 & Rationale and impact: What mandatory training should cover,What topics should be included in mandatory safeguarding training for care home staff?,"['topics', 'included', 'mandatory', 'safeguarding', 'training', 'care', 'home', 'staff']","['topic', 'included', 'mandatory', 'safeguarding', 'training', 'care', 'home', 'staff']"
NG189_Rationale and impact: What mandatory training should cover & Rationale and impact: Further training,What should mandatory safeguarding training for care home staff include according to NICE guidelines?,"['mandatory', 'safeguarding', 'training', 'care', 'home', 'staff', 'include', 'according', 'nice', 'guidelines']","['mandatory', 'safeguarding', 'training', 'care', 'home', 'staff', 'include', 'according', 'nice', 'guideline']"
NG189_Rationale and impact: Further training & Rationale and impact: How to conduct training,What are the recommended approaches for providing ongoing safeguarding training for care home staff?,"['recommended', 'approaches', 'providing', 'ongoing', 'safeguarding', 'training', 'care', 'home', 'staff']","['recommended', 'approach', 'providing', 'ongoing', 'safeguarding', 'training', 'care', 'home', 'staff']"
NG189_Rationale and impact: How to conduct training & Rationale and impact: Evaluating training,What are the recommended methods for conducting safeguarding training in care homes?,"['recommended', 'methods', 'conducting', 'safeguarding', 'training', 'care', 'homes']","['recommended', 'method', 'conducting', 'safeguarding', 'training', 'care', 'home']"
NG189_Rationale and impact: Evaluating training & Rationale and impact: Management skills and competence,How can care home managers effectively evaluate the impact of safeguarding training on staff practice?,"['care', 'home', 'managers', 'effectively', 'evaluate', 'impact', 'safeguarding', 'training', 'staff', 'practice']","['care', 'home', 'manager', 'effectively', 'evaluate', 'impact', 'safeguarding', 'training', 'staff', 'practice']"
NG189_Rationale and impact: Management skills and competence & Rationale and impact: Line management and supervision,What are the recommended management skills and supervision practices for safeguarding in care homes?,"['recommended', 'management', 'skills', 'supervision', 'practices', 'safeguarding', 'care', 'homes']","['recommended', 'management', 'skill', 'supervision', 'practice', 'safeguarding', 'care', 'home']"
NG189_Rationale and impact: Line management and supervision & Rationale and impact: Care home culture,What strategies can care home managers use to improve staff confidence in reporting safeguarding concerns?,"['strategies', 'care', 'home', 'managers', 'use', 'improve', 'staff', 'confidence', 'reporting', 'safeguarding', 'concerns']","['strategy', 'care', 'home', 'manager', 'use', 'improve', 'staff', 'confidence', 'reporting', 'safeguarding', 'concern']"
NG189_Rationale and impact: Care home culture & Rationale and impact: Multi-agency working and shared learning with other organisations,What strategies can care home managers use to promote a positive safeguarding culture and improve staff reporting of abuse?,"['strategies', 'care', 'home', 'managers', 'use', 'promote', 'positive', 'safeguarding', 'culture', 'improve', 'staff', 'reporting', 'abuse']","['strategy', 'care', 'home', 'manager', 'use', 'promote', 'positive', 'safeguarding', 'culture', 'improve', 'staff', 'reporting', 'abuse']"
NG189_Rationale and impact: Multi-agency working and shared learning with other organisations & Rationale and impact: Record-keeping,What are the best practices for multi-agency working and shared learning to improve safeguarding in care settings?,"['best', 'practices', 'multiagency', 'working', 'shared', 'learning', 'improve', 'safeguarding', 'care', 'settings']","['best', 'practice', 'multiagency', 'working', 'shared', 'learning', 'improve', 'safeguarding', 'care', 'setting']"
NG189_Rationale and impact: Record-keeping & Rationale and impact: Indicators of individual abuse and neglect and immediate actions to take if you consider abuse or neglect,What are the recommended record-keeping practices for safeguarding residents against abuse and neglect in care homes?,"['recommended', 'recordkeeping', 'practices', 'safeguarding', 'residents', 'abuse', 'neglect', 'care', 'homes']","['recommended', 'recordkeeping', 'practice', 'safeguarding', 'resident', 'abuse', 'neglect', 'care', 'home']"
NG189_Rationale and impact: Indicators of individual abuse and neglect and immediate actions to take if you consider abuse or neglect - Part 1,What are the indicators of abuse and neglect in care homes and how should they be acted upon?,"['indicators', 'abuse', 'neglect', 'care', 'homes', 'acted', 'upon']","['indicator', 'abuse', 'neglect', 'care', 'home', 'acted', 'upon']"
NG189_Rationale and impact: Indicators of individual abuse and neglect and immediate actions to take if you consider abuse or neglect - Part 2 & Rationale and impact: Making sure people are safe,What are the key indicators of abuse and neglect in care homes?,"['key', 'indicators', 'abuse', 'neglect', 'care', 'homes']","['key', 'indicator', 'abuse', 'neglect', 'care', 'home']"
NG189_Rationale and impact: Making sure people are safe & Rationale and impact: Gathering information,What are the recommended procedures for safeguarding individuals at risk of abuse or neglect in care settings?,"['recommended', 'procedures', 'safeguarding', 'individuals', 'risk', 'abuse', 'neglect', 'care', 'settings']","['recommended', 'procedure', 'safeguarding', 'individual', 'risk', 'abuse', 'neglect', 'care', 'setting']"
"NG189_Rationale and impact: Gathering information & Rationale and impact: Confidentiality, and discussing and reporting suspected abuse and neglect",What are the recommended practices for gathering and recording information when abuse or neglect is suspected in care settings?,"['recommended', 'practices', 'gathering', 'recording', 'information', 'abuse', 'neglect', 'suspected', 'care', 'settings']","['recommended', 'practice', 'gathering', 'recording', 'information', 'abuse', 'neglect', 'suspected', 'care', 'setting']"
"NG189_Rationale and impact: Confidentiality, and discussing and reporting suspected abuse and neglect & Rationale and impact: Care home safeguarding leads",What are the NICE recommendations for discussing and reporting suspected abuse and neglect in care homes?,"['nice', 'recommendations', 'discussing', 'reporting', 'suspected', 'abuse', 'neglect', 'care', 'homes']","['nice', 'recommendation', 'discussing', 'reporting', 'suspected', 'abuse', 'neglect', 'care', 'home']"
NG189_Rationale and impact: Care home safeguarding leads & Rationale and impact: Local authorities,What qualifications and training are recommended for safeguarding leads in care homes?,"['qualifications', 'training', 'recommended', 'safeguarding', 'leads', 'care', 'homes']","['qualification', 'training', 'recommended', 'safeguarding', 'lead', 'care', 'home']"
NG189_Rationale and impact: Local authorities,What are the NICE recommendations for local authorities on safeguarding and reporting abuse in care homes?,"['nice', 'recommendations', 'local', 'authorities', 'safeguarding', 'reporting', 'abuse', 'care', 'homes']","['nice', 'recommendation', 'local', 'authority', 'safeguarding', 'reporting', 'abuse', 'care', 'home']"
NG189_Rationale and impact: Working with and supporting the resident at risk during a safeguarding enquiry - Part 1,What are the best practices for supporting care home residents during safeguarding enquiries?,"['best', 'practices', 'supporting', 'care', 'home', 'residents', 'safeguarding', 'enquiries']","['best', 'practice', 'supporting', 'care', 'home', 'resident', 'safeguarding', 'enquiry']"
NG189_Rationale and impact: Working with and supporting the resident at risk during a safeguarding enquiry - Part 2 & Rationale and impact: Supporting care home staff who are subject to a safeguarding enquiry,What are the recommended ways to support care home staff during a safeguarding enquiry?,"['recommended', 'ways', 'support', 'care', 'home', 'staff', 'safeguarding', 'enquiry']","['recommended', 'way', 'support', 'care', 'home', 'staff', 'safeguarding', 'enquiry']"
NG189_Rationale and impact: Supporting care home staff who are subject to a safeguarding enquiry & Rationale and impact: Supporting care home staff,What are the recommended ways to support care home staff during safeguarding enquiries?,"['recommended', 'ways', 'support', 'care', 'home', 'staff', 'safeguarding', 'enquiries']","['recommended', 'way', 'support', 'care', 'home', 'staff', 'safeguarding', 'enquiry']"
NG189_Rationale and impact: Supporting care home staff,How can care home managers effectively support staff during safeguarding enquiries?,"['care', 'home', 'managers', 'effectively', 'support', 'staff', 'safeguarding', 'enquiries']","['care', 'home', 'manager', 'effectively', 'support', 'staff', 'safeguarding', 'enquiry']"
NG189_Rationale and impact: How local authorities should support care homes during an enquiry,How should local authorities support care homes during safeguarding enquiries?,"['local', 'authorities', 'support', 'care', 'homes', 'safeguarding', 'enquiries']","['local', 'authority', 'support', 'care', 'home', 'safeguarding', 'enquiry']"
NG189_Rationale and impact: Meetings during a safeguarding enquiry,What are best practices for conducting safeguarding meetings in care homes?,"['best', 'practices', 'conducting', 'safeguarding', 'meetings', 'care', 'homes']","['best', 'practice', 'conducting', 'safeguarding', 'meeting', 'care', 'home']"
NG189_Rationale and impact: Indicators of organisational abuse and neglect - Part 1,What are the indicators of organisational abuse and neglect in care homes?,"['indicators', 'organisational', 'abuse', 'neglect', 'care', 'homes']","['indicator', 'organisational', 'abuse', 'neglect', 'care', 'home']"
NG189_Rationale and impact: Indicators of organisational abuse and neglect - Part 2,What are the recommended practices for preventing organisational abuse and neglect in care homes?,"['recommended', 'practices', 'preventing', 'organisational', 'abuse', 'neglect', 'care', 'homes']","['recommended', 'practice', 'preventing', 'organisational', 'abuse', 'neglect', 'care', 'home']"
NG18_Diabetes (type 1 and type 2) in children and young people: diagnosis and management & Overview & Recommendations: Blood glucose and plasma glucose,What are the recommended approaches for diagnosing and managing type 1 and type 2 diabetes in children and young people?,"['recommended', 'approaches', 'diagnosing', 'managing', 'type', 'type', 'diabetes', 'children', 'young', 'people']","['recommended', 'approach', 'diagnosing', 'managing', 'type', 'type', 'diabetes', 'child', 'young', 'people']"
NG18_Recommendations: 1.1 Diagnosis - Part 1,What are the signs and diagnostic criteria for type 1 diabetes in children and young people?,"['signs', 'diagnostic', 'criteria', 'type', 'diabetes', 'children', 'young', 'people']","['sign', 'diagnostic', 'criterion', 'type', 'diabetes', 'child', 'young', 'people']"
NG18_Recommendations: 1.1 Diagnosis - Part 2,When should C-peptide testing be used to differentiate types of diabetes in children and young people?,"['cpeptide', 'testing', 'used', 'differentiate', 'types', 'diabetes', 'children', 'young', 'people']","['cpeptide', 'testing', 'used', 'differentiate', 'type', 'diabetes', 'child', 'young', 'people']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 1,What education and support should be provided to children and young people with type 1 diabetes and their families?,"['education', 'support', 'provided', 'children', 'young', 'people', 'type', 'diabetes', 'families']","['education', 'support', 'provided', 'child', 'young', 'people', 'type', 'diabetes', 'family']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 2,What are the NICE guidelines for managing type 1 diabetes in children and young people?,"['nice', 'guidelines', 'managing', 'type', 'diabetes', 'children', 'young', 'people']","['nice', 'guideline', 'managing', 'type', 'diabetes', 'child', 'young', 'people']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 3,What is the recommended immunisation schedule for children with type 1 diabetes?,"['recommended', 'immunisation', 'schedule', 'children', 'type', 'diabetes']","['recommended', 'immunisation', 'schedule', 'child', 'type', 'diabetes']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 4,What are the recommended insulin delivery options and management strategies for children and young people with newly diagnosed type 1 diabetes?,"['recommended', 'insulin', 'delivery', 'options', 'management', 'strategies', 'children', 'young', 'people', 'newly', 'diagnosed', 'type', 'diabetes']","['recommended', 'insulin', 'delivery', 'option', 'management', 'strategy', 'child', 'young', 'people', 'newly', 'diagnosed', 'type', 'diabetes']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 5,What are the recommended dietary management strategies for children and young people with type 1 diabetes?,"['recommended', 'dietary', 'management', 'strategies', 'children', 'young', 'people', 'type', 'diabetes']","['recommended', 'dietary', 'management', 'strategy', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 6,What advice is available for children and young people with type 1 diabetes regarding low glycaemic index diets and exercise management?,"['advice', 'available', 'children', 'young', 'people', 'type', 'diabetes', 'regarding', 'low', 'glycaemic', 'index', 'diets', 'exercise', 'management']","['advice', 'available', 'child', 'young', 'people', 'type', 'diabetes', 'regarding', 'low', 'glycaemic', 'index', 'diet', 'exercise', 'management']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 7,What are the recommended carbohydrate intake and blood glucose targets for children and young people with type 1 diabetes during exercise?,"['recommended', 'carbohydrate', 'intake', 'blood', 'glucose', 'targets', 'children', 'young', 'people', 'type', 'diabetes', 'exercise']","['recommended', 'carbohydrate', 'intake', 'blood', 'glucose', 'target', 'child', 'young', 'people', 'type', 'diabetes', 'exercise']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 8,What are the recommendations for using continuous glucose monitoring in children and young people with type 1 diabetes?,"['recommendations', 'using', 'continuous', 'glucose', 'monitoring', 'children', 'young', 'people', 'type', 'diabetes']","['recommendation', 'using', 'continuous', 'glucose', 'monitoring', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 9,What are the considerations for choosing and using continuous glucose monitoring (CGM) devices in children and young people with type 1 diabetes?,"['considerations', 'choosing', 'using', 'continuous', 'glucose', 'monitoring', 'cgm', 'devices', 'children', 'young', 'people', 'type', 'diabetes']","['consideration', 'choosing', 'using', 'continuous', 'glucose', 'monitoring', 'cgm', 'device', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 10,What are the recommended blood glucose monitoring practices for children and young people with type 1 diabetes?,"['recommended', 'blood', 'glucose', 'monitoring', 'practices', 'children', 'young', 'people', 'type', 'diabetes']","['recommended', 'blood', 'glucose', 'monitoring', 'practice', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 11,What are the recommended strategies for managing hypoglycaemia in children and young people with type 1 diabetes?,"['recommended', 'strategies', 'managing', 'hypoglycaemia', 'children', 'young', 'people', 'type', 'diabetes']","['recommended', 'strategy', 'managing', 'hypoglycaemia', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 12,What are the recommended management strategies for hypoglycaemia in children and young people with type 1 diabetes?,"['recommended', 'management', 'strategies', 'hypoglycaemia', 'children', 'young', 'people', 'type', 'diabetes']","['recommended', 'management', 'strategy', 'hypoglycaemia', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 13,What is the recommended management of severe hypoglycaemia in children with type 1 diabetes?,"['recommended', 'management', 'severe', 'hypoglycaemia', 'children', 'type', 'diabetes']","['recommended', 'management', 'severe', 'hypoglycaemia', 'child', 'type', 'diabetes']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 14,What psychological support is recommended for children and young people with type 1 diabetes and their families?,"['psychological', 'support', 'recommended', 'children', 'young', 'people', 'type', 'diabetes', 'families']","['psychological', 'support', 'recommended', 'child', 'young', 'people', 'type', 'diabetes', 'family']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 15,What mental health support is recommended for children and young people with type 1 diabetes?,"['mental', 'health', 'support', 'recommended', 'children', 'young', 'people', 'type', 'diabetes']","['mental', 'health', 'support', 'recommended', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 16,What are the recommended monitoring and screening protocols for complications in children and young people with type 1 diabetes?,"['recommended', 'monitoring', 'screening', 'protocols', 'complications', 'children', 'young', 'people', 'type', 'diabetes']","['recommended', 'monitoring', 'screening', 'protocol', 'complication', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 17,What are the recommended screening and monitoring protocols for diabetic retinopathy and diabetic kidney disease in children and young people with type 1 diabetes?,"['recommended', 'screening', 'monitoring', 'protocols', 'diabetic', 'retinopathy', 'diabetic', 'kidney', 'disease', 'children', 'young', 'people', 'type', 'diabetes']","['recommended', 'screening', 'monitoring', 'protocol', 'diabetic', 'retinopathy', 'diabetic', 'kidney', 'disease', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.2 Type 1 diabetes - Part 18,What are the recommended intervals for oral health reviews in children and young people with type 1 diabetes?,"['recommended', 'intervals', 'oral', 'health', 'reviews', 'children', 'young', 'people', 'type', 'diabetes']","['recommended', 'interval', 'oral', 'health', 'review', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 1,What information and education should be provided to children and young people with type 2 diabetes and their families?,"['information', 'education', 'provided', 'children', 'young', 'people', 'type', 'diabetes', 'families']","['information', 'education', 'provided', 'child', 'young', 'people', 'type', 'diabetes', 'family']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 2,What education and support should be provided to children and young people with type 2 diabetes and their families?,"['education', 'support', 'provided', 'children', 'young', 'people', 'type', 'diabetes', 'families']","['education', 'support', 'provided', 'child', 'young', 'people', 'type', 'diabetes', 'family']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 3,What are the NICE recommendations for smoking cessation and immunisation in children and young people with type 2 diabetes?,"['nice', 'recommendations', 'smoking', 'cessation', 'immunisation', 'children', 'young', 'people', 'type', 'diabetes']","['nice', 'recommendation', 'smoking', 'cessation', 'immunisation', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 4,What are the dietary management recommendations for children and young people with type 2 diabetes?,"['dietary', 'management', 'recommendations', 'children', 'young', 'people', 'type', 'diabetes']","['dietary', 'management', 'recommendation', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 5,When should insulin be initiated in children and young people with type 2 diabetes according to NICE guidelines?,"['insulin', 'initiated', 'children', 'young', 'people', 'type', 'diabetes', 'according', 'nice', 'guidelines']","['insulin', 'initiated', 'child', 'young', 'people', 'type', 'diabetes', 'according', 'nice', 'guideline']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 6,How should blood glucose monitoring and HbA1c targets be managed in children and young people with type 2 diabetes?,"['blood', 'glucose', 'monitoring', 'hba1c', 'targets', 'managed', 'children', 'young', 'people', 'type', 'diabetes']","['blood', 'glucose', 'monitoring', 'hba1c', 'target', 'managed', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 7,What are the criteria for offering continuous glucose monitoring to children and young people with type 2 diabetes?,"['criteria', 'offering', 'continuous', 'glucose', 'monitoring', 'children', 'young', 'people', 'type', 'diabetes']","['criterion', 'offering', 'continuous', 'glucose', 'monitoring', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 8,What are the recommendations for using continuous glucose monitoring in children and young people with type 2 diabetes?,"['recommendations', 'using', 'continuous', 'glucose', 'monitoring', 'children', 'young', 'people', 'type', 'diabetes']","['recommendation', 'using', 'continuous', 'glucose', 'monitoring', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 9,"What are the criteria for adding liraglutide, dulaglutide, or empagliflozin to metformin in children and young people with type 2 diabetes?","['criteria', 'adding', 'liraglutide', 'dulaglutide', 'empagliflozin', 'metformin', 'children', 'young', 'people', 'type', 'diabetes']","['criterion', 'adding', 'liraglutide', 'dulaglutide', 'empagliflozin', 'metformin', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 10,When should insulin be increased in children and young people with type 2 diabetes on metformin and GLP-1 receptor agonists or SGLT2 inhibitors?,"['insulin', 'increased', 'children', 'young', 'people', 'type', 'diabetes', 'metformin', 'glp1', 'receptor', 'agonists', 'sglt2', 'inhibitors']","['insulin', 'increased', 'child', 'young', 'people', 'type', 'diabetes', 'metformin', 'glp1', 'receptor', 'agonist', 'sglt2', 'inhibitor']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 11,When should insulin be increased in children aged 10 or over with type 2 diabetes on metformin and insulin?,"['insulin', 'increased', 'children', 'aged', 'type', 'diabetes', 'metformin', 'insulin']","['insulin', 'increased', 'child', 'aged', 'type', 'diabetes', 'metformin', 'insulin']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 12,What factors should be considered when choosing an insulin regimen for children and young people with type 2 diabetes?,"['factors', 'considered', 'choosing', 'insulin', 'regimen', 'children', 'young', 'people', 'type', 'diabetes']","['factor', 'considered', 'choosing', 'insulin', 'regimen', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 13,How should healthcare teams update school healthcare plans when treating children and young people with type 2 diabetes?,"['healthcare', 'teams', 'update', 'school', 'healthcare', 'plans', 'treating', 'children', 'young', 'people', 'type', 'diabetes']","['healthcare', 'team', 'update', 'school', 'healthcare', 'plan', 'treating', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 14,What are the recommended mental health assessments and psychosocial support strategies for children and young people with type 2 diabetes?,"['recommended', 'mental', 'health', 'assessments', 'psychosocial', 'support', 'strategies', 'children', 'young', 'people', 'type', 'diabetes']","['recommended', 'mental', 'health', 'assessment', 'psychosocial', 'support', 'strategy', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 15,What is the recommended frequency for monitoring hypertension and dyslipidaemia in children and young people with type 2 diabetes?,"['recommended', 'frequency', 'monitoring', 'hypertension', 'dyslipidaemia', 'children', 'young', 'people', 'type', 'diabetes']","['recommended', 'frequency', 'monitoring', 'hypertension', 'dyslipidaemia', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 16,What are the recommended screening and management strategies for diabetic retinopathy and diabetic kidney disease in children and young people with type 2 diabetes?,"['recommended', 'screening', 'management', 'strategies', 'diabetic', 'retinopathy', 'diabetic', 'kidney', 'disease', 'children', 'young', 'people', 'type', 'diabetes']","['recommended', 'screening', 'management', 'strategy', 'diabetic', 'retinopathy', 'diabetic', 'kidney', 'disease', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.3 Type 2 diabetes - Part 17,What is the importance of oral health reviews for children and young people with type 2 diabetes?,"['importance', 'oral', 'health', 'reviews', 'children', 'young', 'people', 'type', 'diabetes']","['importance', 'oral', 'health', 'review', 'child', 'young', 'people', 'type', 'diabetes']"
NG18_Recommendations: 1.4 Diabetic ketoacidosis - Part 1,What are the signs and diagnostic criteria for diabetic ketoacidosis in children and young people?,"['signs', 'diagnostic', 'criteria', 'diabetic', 'ketoacidosis', 'children', 'young', 'people']","['sign', 'diagnostic', 'criterion', 'diabetic', 'ketoacidosis', 'child', 'young', 'people']"
NG18_Recommendations: 1.4 Diabetic ketoacidosis - Part 2,What are the diagnostic criteria and initial management steps for diabetic ketoacidosis in children and young people?,"['diagnostic', 'criteria', 'initial', 'management', 'steps', 'diabetic', 'ketoacidosis', 'children', 'young', 'people']","['diagnostic', 'criterion', 'initial', 'management', 'step', 'diabetic', 'ketoacidosis', 'child', 'young', 'people']"
NG18_Recommendations: 1.4 Diabetic ketoacidosis - Part 3,What are the recommended management strategies for children under 2 years with diabetic ketoacidosis?,"['recommended', 'management', 'strategies', 'children', 'years', 'diabetic', 'ketoacidosis']","['recommended', 'management', 'strategy', 'child', 'year', 'diabetic', 'ketoacidosis']"
NG18_Recommendations: 1.4 Diabetic ketoacidosis - Part 4,What is the recommended initial fluid bolus for children with signs of shock in DKA?,"['recommended', 'initial', 'fluid', 'bolus', 'children', 'signs', 'shock', 'dka']","['recommended', 'initial', 'fluid', 'bolus', 'child', 'sign', 'shock', 'dka']"
NG18_Recommendations: 1.4 Diabetic ketoacidosis - Part 5,What are the recommended potassium replacement protocols for children with diabetic ketoacidosis?,"['recommended', 'potassium', 'replacement', 'protocols', 'children', 'diabetic', 'ketoacidosis']","['recommended', 'potassium', 'replacement', 'protocol', 'child', 'diabetic', 'ketoacidosis']"
NG18_Recommendations: 1.4 Diabetic ketoacidosis - Part 6,What is the recommended insulin infusion rate for treating DKA in children and young people?,"['recommended', 'insulin', 'infusion', 'rate', 'treating', 'dka', 'children', 'young', 'people']","['recommended', 'insulin', 'infusion', 'rate', 'treating', 'dka', 'child', 'young', 'people']"
NG18_Recommendations: 1.4 Diabetic ketoacidosis - Part 7,How should insulin pumps be managed during treatment of diabetic ketoacidosis in children and young people?,"['insulin', 'pumps', 'managed', 'treatment', 'diabetic', 'ketoacidosis', 'children', 'young', 'people']","['insulin', 'pump', 'managed', 'treatment', 'diabetic', 'ketoacidosis', 'child', 'young', 'people']"
NG18_Recommendations: 1.4 Diabetic ketoacidosis - Part 8,What are the recommended monitoring and management strategies for children with diabetic ketoacidosis?,"['recommended', 'monitoring', 'management', 'strategies', 'children', 'diabetic', 'ketoacidosis']","['recommended', 'monitoring', 'management', 'strategy', 'child', 'diabetic', 'ketoacidosis']"
NG18_Recommendations: 1.4 Diabetic ketoacidosis - Part 9,What is the recommended management for cerebral oedema in children with DKA after mannitol or hypertonic saline treatment?,"['recommended', 'management', 'cerebral', 'oedema', 'children', 'dka', 'mannitol', 'hypertonic', 'saline', 'treatment']","['recommended', 'management', 'cerebral', 'oedema', 'child', 'dka', 'mannitol', 'hypertonic', 'saline', 'treatment']"
NG18_Recommendations: 1.5 Service provision - Part 1,What is the recommended model of care for children and young people with diabetes?,"['recommended', 'model', 'care', 'children', 'young', 'people', 'diabetes']","['recommended', 'model', 'care', 'child', 'young', 'people', 'diabetes']"
NG18_Recommendations: 1.5 Service provision - Part 2,How should healthcare teams support the transition of young people with type 1 diabetes from paediatric to adult services?,"['healthcare', 'teams', 'support', 'transition', 'young', 'people', 'type', 'diabetes', 'paediatric', 'adult', 'services']","['healthcare', 'team', 'support', 'transition', 'young', 'people', 'type', 'diabetes', 'paediatric', 'adult', 'service']"
